,,PLC -> PC,,,,,,PLC <- PC,,,,,
,,,LS,MEL,COMMENT,,,,LS,MEL,COMMENT,,
M155 마킹 CONTROLLER통신에러,M355 ITEM 2 -NG,M,155,245,마킹 CONTROLLER통신에러,,245,M,355,565,ITEM 2 -NG,,
M156 측정 검사지연에러,M356 ITEM 2 -OK,M,156,246,측정 검사지연에러,,246,M,356,566,ITEM 2 -OK,,
M157 마킹 지연에러,M357 ITEM 2 OK,M,157,247,마킹 지연에러,,247,M,357,567,ITEM 2 OK,,
M158 마킹 컨트롤러READY지연에러,M358 ITEM 2 +OK,M,158,248,마킹 컨트롤러READY지연에러,,248,M,358,568,ITEM 2 +OK,,
M159 마킹 컨트롤러에러,M359 ITEM 2 +NG,M,159,249,마킹 컨트롤러에러,,249,M,359,569,ITEM 2 +NG,,
M15A 정면-좌측DOOR열림에러,M35A ITEM 3 -NG,M,15A,250,정면-좌측DOOR열림에러,,250,M,35A,570,ITEM 3 -NG,,
M15B 정면-우측DOOR열림에러,M35B ITEM 3 -OK,M,15B,251,정면-우측DOOR열림에러,,251,M,35B,571,ITEM 3 -OK,,
M15C ERROR#13,M35C ITEM 3 OK,M,15C,252,ERROR#13,,252,M,35C,572,ITEM 3 OK,,
M15D ERROR#14,M35D ITEM 3 +OK,M,15D,253,ERROR#14,,253,M,35D,573,ITEM 3 +OK,,
M15E ERROR#15,M35E ITEM 3 +NG,M,15E,254,ERROR#15,,254,M,35E,574,ITEM 3 +NG,,
M15F ERROR#16,M35F ITEM 4 -NG,M,15F,255,ERROR#16,,255,M,35F,575,ITEM 4 -NG,,
M160 ERROR#17,M360 ITEM 4 -OK,M,160,256,ERROR#17,,256,M,360,576,ITEM 4 -OK,,
M161 ERROR#18,M361 ITEM 4 OK,M,161,257,ERROR#18,,257,M,361,577,ITEM 4 OK,,
M162 ERROR#19,M362 ITEM 4 +OK,M,162,258,ERROR#19,,258,M,362,578,ITEM 4 +OK,,
M163 측정리프트 상하에러,M363 ITEM 4 +NG,M,163,259,측정리프트 상하에러,,259,M,363,579,ITEM 4 +NG,,
M164 측정부상하 상하에러,M364 ITEM 5 -NG,M,164,260,측정부상하 상하에러,,260,M,364,580,ITEM 5 -NG,,
M165 측정부전후 전후에러,M365 ITEM 5 -OK,M,165,261,측정부전후 전후에러,,261,M,365,581,ITEM 5 -OK,,
M166 ERROR#23,M366 ITEM 5 OK,M,166,262,ERROR#23,,262,M,366,582,ITEM 5 OK,,
