,,PLC -> PC,,,,,,PLC <- PC,,,,
,,,LS,MEL,COMMENT,,,,LS,MEL,COMMENT,
M107 ,M307 ,M,107,167,,,,M,307,487,,
M108 ,M308 ,M,108,168,,,,M,308,488,,
M109 ,M309 ,M,109,169,,,,M,309,489,,
M10A ,M30A ,M,10A,170,,,,M,30A,490,,
M10B ,M30B ,M,10B,171,,,,M,30B,491,,
M10C ,M30C ,M,10C,172,,,,M,30C,492,,
M10D ,M30D ,M,10D,173,,,,M,30D,493,,
M10E ,M30E ,M,10E,174,,,,M,30E,494,,
M10F ,M30F ,M,10F,175,,,,M,30F,495,,
M110 ,M310 ,M,110,176,,,,M,310,496,,
M111 ,M311 ,M,111,177,,,,M,311,497,,
M112 ,M312 ,M,112,178,,,,M,312,498,,
M113 ,M313 ,M,113,179,,,,M,313,499,,
M114 ,M314 ,M,114,180,,,,M,314,500,,
M115 ,M315 ,M,115,181,,,,M,315,501,,
M116 ,M316 ,M,116,182,,,,M,316,502,,
M117 ,M317 ,M,117,183,,,,M,317,503,,
M118 ,M318 ,M,118,184,,,,M,318,504,,
M119 ,M319 ,M,119,185,,,,M,319,505,,
M11A ,M31A ,M,11A,186,,,,M,31A,506,,
M11B ,M31B ,M,11B,187,,,,M,31B,507,,
M11C ,M31C ,M,11C,188,,,,M,31C,508,,
M11D ,M31D ,M,11D,189,,,,M,31D,509,,
M11E ,M31E ,M,11E,190,,,,M,31E,510,,
M11F ,M31F ,M,11F,191,,,,M,31F,511,,
M120 ,M320 ,M,120,192,,,,M,320,512,,
M121 ,M321 ,M,121,193,,,,M,321,513,,
M122 ,M322 ,M,122,194,,,,M,322,514,,
M123 ,M323 ,M,123,195,,,,M,323,515,,
M124 ,M324 ,M,124,196,,,,M,324,516,,
M125 ,M325 ,M,125,197,,,,M,325,517,,
M126 ,M326 ,M,126,198,,,,M,326,518,,
M127 ,M327 ,M,127,199,,,,M,327,519,,
M128 ,M328 ,M,128,200,,,,M,328,520,,
M129 ,M329 ,M,129,201,,,,M,329,521,,
M12A ,M32A ,M,12A,202,,,,M,32A,522,,
M12B ,M32B ,M,12B,203,,,,M,32B,523,,
M12C ,M32C ,M,12C,204,,,,M,32C,524,,
M12D ,M32D ,M,12D,205,,,,M,32D,525,,
M12E ,M32E ,M,12E,206,,,,M,32E,526,,
M12F ,M32F ,M,12F,207,,,,M,32F,527,,
M130 I/F LAMP 1,M330 ,M,130,208,I/F LAMP 1,FOR LOG,,M,330,528,,
M131 I/F LAMP 2,M331 ,M,131,209,I/F LAMP 2,FOR LOG,,M,331,529,,
M132 I/F LAMP 3,M332 ,M,132,210,I/F LAMP 3,FOR LOG,,M,332,530,,
M133 I/F LAMP 4,M333 ,M,133,211,I/F LAMP 4,FOR LOG,,M,333,531,,
M134 I/F LAMP 5,M334 ,M,134,212,I/F LAMP 5,FOR LOG,,M,334,532,,
M135 I/F LAMP 6,M335 ,M,135,213,I/F LAMP 6,FOR LOG,,M,335,533,,
M136 I/F LAMP 7,M336 ,M,136,214,I/F LAMP 7,FOR LOG,,M,336,534,,
M137 I/F LAMP 8,M337 ,M,137,215,I/F LAMP 8,FOR LOG,,M,337,535,,
M138 WORK DETECT LAMP 1,M338 ,M,138,216,WORK DETECT LAMP 1,FOR LOG,,M,338,536,,
M139 WORK DETECT LAMP 2,M339 ,M,139,217,WORK DETECT LAMP 2,FOR LOG,,M,339,537,,
M13A WORK DETECT LAMP 3,M33A ,M,13A,218,WORK DETECT LAMP 3,FOR LOG,,M,33A,538,,
M13B WORK DETECT LAMP 4,M33B ,M,13B,219,WORK DETECT LAMP 4,FOR LOG,,M,33B,539,,
M13C WORK DETECT LAMP 5,M33C ,M,13C,220,WORK DETECT LAMP 5,FOR LOG,,M,33C,540,,
M13D WORK DETECT LAMP 6,M33D ,M,13D,221,WORK DETECT LAMP 6,FOR LOG,,M,33D,541,,
M13E WORK DETECT LAMP 7,M33E ,M,13E,222,WORK DETECT LAMP 7,FOR LOG,,M,33E,542,,
M13F WORK DETECT LAMP 8,M33F ,M,13F,223,WORK DETECT LAMP 8,FOR LOG,,M,33F,543,,
M140 CYCLE TIME 2^0,M340 ,M,140,224,CYCLE TIME 2^0,,,M,340,544,,
M141 CYCLE TIME 2^1,M341 ,M,141,225,CYCLE TIME 2^1,,,M,341,545,,
M142 CYCLE TIME 2^2,M342 ,M,142,226,CYCLE TIME 2^2,,,M,342,546,,
M143 CYCLE TIME 2^3,M343 ,M,143,227,CYCLE TIME 2^3,,,M,343,547,,
M144 CYCLE TIME 2^4,M344 ,M,144,228,CYCLE TIME 2^4,,,M,344,548,,
M145 CYCLE TIME 2^5,M345 ,M,145,229,CYCLE TIME 2^5,,,M,345,549,,
M146 CYCLE TIME 2^6,M346 ,M,146,230,CYCLE TIME 2^6,,,M,346,550,,
M147 CYCLE TIME 2^7,M347 ,M,147,231,CYCLE TIME 2^7,,,M,347,551,,
M148 CYCLE TIME 2^8,M348 ,M,148,232,CYCLE TIME 2^8,,,M,348,552,,
M149 CYCLE TIME 2^9,M349 ,M,149,233,CYCLE TIME 2^9,,,M,349,553,,
M14A CYCLE TIME 2^10,M34A ,M,14A,234,CYCLE TIME 2^10,,,M,34A,554,,
M14B CYCLE TIME 2^11,M34B ,M,14B,235,CYCLE TIME 2^11,,,M,34B,555,,
M14C CYCLE TIME 2^12,M34C ,M,14C,236,CYCLE TIME 2^12,,,M,34C,556,,
M14D CYCLE TIME 2^13,M34D ,M,14D,237,CYCLE TIME 2^13,,,M,34D,557,,
M14E CYCLE TIME 2^14,M34E ,M,14E,238,CYCLE TIME 2^14,,,M,34E,558,,
M14F CYCLE TIME 2^15,M34F ,M,14F,239,CYCLE TIME 2^15,,,M,34F,559,,
M150 ERROR1,M350 ITEM 1 -NG,M,150,240,ERROR1,,,M,350,560,ITEM 1 -NG,-NG
M151 ERROR2,M351 ITEM 1 -OK,M,151,241,ERROR2,,,M,351,561,ITEM 1 -OK,-OK
M152 ERROR3,M352 ITEM 1 OK,M,152,242,ERROR3,,,M,352,562,ITEM 1 OK,OK
M153 ERROR4,M353 ITEM 1 +OK,M,153,243,ERROR4,,,M,353,563,ITEM 1 +OK,+OK
M154 ERROR5,M354 ITEM 1 +NG,M,154,244,ERROR5,,,M,354,564,ITEM 1 +NG,+NG
M155 ERROR6,M355 ITEM 2 -NG,M,155,245,ERROR6,,,M,355,565,ITEM 2 -NG,-NG
M156 ERROR7,M356 ITEM 2 -OK,M,156,246,ERROR7,,,M,356,566,ITEM 2 -OK,-OK
M157 ERROR8,M357 ITEM 2 OK,M,157,247,ERROR8,,,M,357,567,ITEM 2 OK,OK
